雅安电信IPTV,#genre#
凤凰中文,http://zqh2333.top:2222/rtp/239.93.24.9:2192
凤凰资讯,http://zqh2333.top:2222/rtp/239.93.24.4:2191
CCTV-1高清,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV-2高清,http://zqh2333.top:2222/rtp/239.93.24.59:5140
CCTV-3高清,http://zqh2333.top:2222/rtp/239.93.24.11:2223
CCTV-4高清,http://zqh2333.top:2222/rtp/239.93.25.105:5140
CCTV-5高清,http://zqh2333.top:2222/rtp/239.93.24.12:2224
CCTV5＋,http://zqh2333.top:2222/rtp/239.93.24.36:8004
CCTV-6高清,http://zqh2333.top:2222/rtp/239.93.24.13:2226
CCTV-7高清,http://zqh2333.top:2222/rtp/239.93.24.61:5140
CCTV-8高清,http://zqh2333.top:2222/rtp/239.93.55.39:5140
CCTV-9高清,http://zqh2333.top:2222/rtp/239.93.25.24:5140
CCTV-10高清,http://zqh2333.top:2222/rtp/239.93.25.28:5140
CCTV-11高清,http://zqh2333.top:2222/rtp/239.93.24.102:5140
CCTV-12高清,http://zqh2333.top:2222/rtp/239.93.25.30:8124
CCTV-13高清,http://zqh2333.top:2222/rtp/239.93.24.66:5140
CCTV-少儿高清,http://zqh2333.top:2222/rtp/239.93.25.29:6000
CCTV-15高清,http://zqh2333.top:2222/rtp/239.93.24.103:5140
CCTV16 4K,http://zqh2333.top:2222/rtp/239.93.55.54:5140
CCTV-17高清,http://zqh2333.top:2222/rtp/239.93.24.92:5140
四川卫视,http://zqh2333.top:2222/rtp/239.93.24.20:1235
湖南卫视高清,http://zqh2333.top:2222/rtp/239.93.24.88:5140
江苏卫视高清,http://zqh2333.top:2222/rtp/239.93.24.89:5140
浙江卫视高清,http://zqh2333.top:2222/rtp/239.93.24.124:5140
东方卫视高清,http://zqh2333.top:2222/rtp/239.93.24.123:5140
北京卫视高清,http://zqh2333.top:2222/rtp/239.93.24.180:5140
深圳卫视高清,http://zqh2333.top:2222/rtp/239.93.24.182:5140
广东卫视高清,http://zqh2333.top:2222/rtp/239.93.24.181:5140
天津卫视高清,http://zqh2333.top:2222/rtp/239.93.24.167:5140
山东卫视高清,http://zqh2333.top:2222/rtp/239.93.24.168:5140
四川经济高清,http://zqh2333.top:2222/rtp/239.93.25.101:5140
四川文化旅游高清,http://zqh2333.top:2222/rtp/239.93.25.102:5140
四川新闻高清,http://zqh2333.top:2222/rtp/239.93.24.47:5140
四川影视文艺高清,http://zqh2333.top:2222/rtp/239.93.24.166:5140
SCTV-7高清,http://zqh2333.top:2222/rtp/239.93.24.219:5140
四川科教高清,http://zqh2333.top:2222/rtp/239.93.55.44:5140
四川乡村高清,http://zqh2333.top:2222/rtp/239.93.24.52:5140
康巴卫视高清,http://zqh2333.top:2222/rtp/239.93.24.41:5140
江西卫视高清,http://zqh2333.top:2222/rtp/239.93.24.134:5140
东南卫视高清,http://zqh2333.top:2222/rtp/239.93.24.42:5140
黑龙江卫视高清,http://zqh2333.top:2222/rtp/239.93.24.183:5140
